add_1,add_2,area,population,aver_old,under_15,15_65,over_65,rate_sex
愛知県,名古屋市 北区,17.53 ,"9,331.4",47.1 ,11.4 ,61.0 ,27.7 ,94.5 
愛知県,名古屋市 西区,17.93 ,"8,315.6",45.1 ,12.0 ,64.1 ,24.0 ,98.4 
愛知県,名古屋市 中村区,16.30 ,"8,172.1",47.0 ,9.8 ,62.8 ,27.4 ,103.0 
愛知県,名古屋市 中区,9.38 ,"8,870.3",45.1 ,7.2 ,71.6 ,21.2 ,95.7 
愛知県,名古屋市 昭和区,10.94 ,"9,796.2",44.7 ,11.2 ,65.3 ,23.5 ,100.2 
愛知県,名古屋市 瑞穂区,11.22 ,"9,390.1",46.1 ,12.2 ,62.0 ,25.8 ,93.0 
愛知県,名古屋市 熱田区,8.20 ,"8,036.0",47.0 ,10.5 ,63.0 ,26.5 ,97.6 
愛知県,名古屋市 中川区,32.02 ,"6,879.5",44.6 ,13.0 ,63.0 ,23.9 ,98.4 
愛知県,名古屋市 港区,45.64 ,"3,215.3",45.6 ,12.5 ,61.9 ,25.6 ,100.8 
愛知県,名古屋市 南区,18.46 ,"7,417.9",47.5 ,11.0 ,60.4 ,28.6 ,102.6 
愛知県,名古屋市 守山区,34.01 ,"5,082.2",44.0 ,15.0 ,61.2 ,23.8 ,98.0 
愛知県,名古屋市 緑区,37.91 ,"6,378.8",42.9 ,15.8 ,62.7 ,21.5 ,97.0 
愛知県,名古屋市 名東区,19.45 ,"8,436.0",42.8 ,14.8 ,64.5 ,20.7 ,93.3 
愛知県,名古屋市 天白区,21.58 ,"7,538.6",43.6 ,13.1 ,65.4 ,21.5 ,99.4 
愛知県,豊橋市,261.86 ,"1,431.2",44.6 ,14.1 ,61.8 ,24.1 ,100.4 
愛知県,岡崎市,387.20 ,984.1,43.2 ,14.9 ,63.5 ,21.6 ,102.4 
愛知県,一宮市,113.82 ,"3,346.2",45.3 ,14.0 ,60.3 ,25.7 ,95.3 
愛知県,瀬戸市,111.40 ,"1,158.4",46.7 ,12.9 ,58.9 ,28.2 ,95.9 
愛知県,半田市,47.42 ,"2,465.4",44.1 ,14.0 ,63.0 ,23.0 ,100.0 
愛知県,春日井市,92.78 ,"3,303.6",44.4 ,14.3 ,61.0 ,24.7 ,98.3 
愛知県,豊川市,161.14 ,"1,132.2",44.8 ,14.4 ,60.7 ,24.9 ,99.2 
愛知県,津島市,25.09 ,"2,528.1",46.7 ,12.7 ,59.4 ,27.9 ,94.9 
愛知県,碧南市,36.68 ,"1,945.1",43.8 ,14.5 ,62.7 ,22.8 ,105.5 
愛知県,刈谷市,50.39 ,"2,972.1",41.4 ,14.8 ,66.2 ,19.1 ,110.0 
愛知県,豊田市,918.32 ,460.1,42.5 ,14.4 ,64.8 ,20.8 ,110.9 
愛知県,安城市,86.05 ,"2,139.9",41.8 ,15.7 ,64.7 ,19.6 ,104.4 
愛知県,西尾市,161.22 ,"1,042.0",44.4 ,14.5 ,61.5 ,24.0 ,101.6 
愛知県,蒲郡市,56.95 ,"1,424.1",46.6 ,12.9 ,59.1 ,28.1 ,98.4 
愛知県,犬山市,74.90 ,992.1,46.3 ,13.3 ,58.8 ,27.9 ,98.9 
愛知県,常滑市,55.89 ,"1,011.8",44.7 ,14.7 ,59.8 ,25.5 ,95.5 
愛知県,江南市,30.20 ,"3,256.9",45.7 ,13.7 ,59.8 ,26.5 ,95.5 
愛知県,小牧市,62.81 ,"2,379.6",44.0 ,14.1 ,62.5 ,23.5 ,101.9 
愛知県,稲沢市,79.35 ,"1,724.9",45.3 ,13.5 ,61.0 ,25.4 ,97.3 
愛知県,新城市,499.23 ,94.4,50.0 ,11.8 ,55.5 ,32.7 ,96.4 
